"Ranking","Name","Year","Minutes","Genre","Rating","Votes","Gross"
"240.","Swing Time","(1936)","103 min","Comedy, Musical, Romance","7.5","13,873",""
"241.","The Conversation","(1974)","113 min","Drama, Mystery, Thriller","7.8","113,043","$4.42M"
"242.","Sophie's Choice","(1982)","150 min","Drama, Romance","7.5","48,814","$30.04M"
"243.","The French Connection","(1971)","104 min","Action, Crime, Drama","7.7","124,026","$15.63M"
"244.","Do the Right Thing","(1989)","120 min","Comedy, Drama","7.9","103,157","$27.55M"
"245.","Yankee Doodle Dandy","(1942)","126 min","Biography, Drama, Family","7.6","15,896","$11.80M"
"246.","Ben-Hur","(1959)","212 min","Adventure, Drama","8.1","240,134","$74.70M"
"247.","Rebel Without a Cause","(1955)","111 min","Drama","7.6","91,823",""
"248.","Almost Famous","(2000)","122 min","Adventure, Comedy, Drama","7.9","277,681","$32.53M"
"249.","Brokeback Mountain","(2005)","134 min","Drama, Romance","7.7","358,654","$83.04M"
"250.","Fitzcarraldo","(1982)","158 min","Adventure, Drama","8","35,576",""
"251.","Stagecoach","(1939)","96 min","Adventure, Drama, Western","7.8","49,733",""
"252.","The English Patient","(1996)","162 min","Drama, Romance, War","7.4","191,457","$78.65M"
"253.","American History X","(1998)","119 min","Crime, Drama","8.5","1,120,669","$6.72M"
"254.","The Magnificent Ambersons","(1942)","88 min","Drama, Romance","7.6","25,157",""
"255.","The Sting","(1973)","129 min","Comedy, Crime, Drama","8.3","263,168","$159.60M"
"256.","A Man for All Seasons","(1966)","120 min","Biography, Drama, History","7.7","34,987","$28.35M"
"257.","Lost in Translation","(2003)","102 min","Comedy, Drama","7.7","456,338","$44.59M"
"258.","Reservoir Dogs","(1992)","99 min","Crime, Thriller","8.3","1,016,403","$2.83M"
"259.","Shakespeare in Love","(1998)","123 min","Comedy, Drama, History","7.1","226,125","$100.32M"
"260.","Indiana Jones and the Last Crusade","(1989)","127 min","Action, Adventure","8.2","754,454","$197.17M"
"261.","The Princess Bride","(1987)","98 min","Adventure, Family, Fantasy","8","428,503","$30.86M"
"262.","Solaris","(1972)","167 min","Drama, Mystery, Sci-Fi","8","92,144",""
"263.","A Woman Under the Influence","(1974)","155 min","Drama, Romance","8.1","25,711","$13.34M"
"264.","Up","(2009)","96 min","Animation, Adventure, Comedy","8.3","1,041,976","$293.00M"
"265.","The Green Mile","(1999)","189 min","Crime, Drama, Fantasy","8.6","1,297,477","$136.80M"
"266.","Doctor Zhivago","(1965)","193 min","Drama, Romance, War","7.9","77,524","$111.72M"
"267.","Pan's Labyrinth","(2006)","118 min","Drama, Fantasy, War","8.2","669,552","$37.63M"
"268.","Goldfinger","(1964)","110 min","Action, Adventure, Thriller","7.7","191,962","$51.08M"
"269.","Airplane!","(1980)","88 min","Comedy","7.7","240,989","$83.40M"
"270.","Requiem for a Dream","(2000)","102 min","Drama","8.3","841,316","$3.64M"
"271.","The Thing","(1982)","109 min","Horror, Mystery, Sci-Fi","8.2","426,179","$13.78M"
"272.","Jurassic Park","(1993)","127 min","Action, Adventure, Sci-Fi","8.2","986,758","$402.45M"
"273.","The Terminator","(1984)","107 min","Action, Sci-Fi","8.1","864,476","$38.40M"
"274.","Blazing Saddles","(1974)","93 min","Comedy, Western","7.7","140,895","$119.50M"
"275.","Finding Nemo","(2003)","100 min","Animation, Adventure, Comedy","8.2","1,042,137","$380.84M"
"276.","The Wrestler","(2008)","109 min","Drama, Sport","7.9","307,450","$26.24M"
"277.","Before Sunset","(2004)","80 min","Drama, Romance","8.1","265,170","$5.82M"
"278.","Downfall","(2004)","156 min","Biography, Drama, History","8.2","356,654","$5.51M"
"279.","Full Metal Jacket","(1987)","116 min","Drama, War","8.3","742,621","$46.36M"
"280.","The Thin Red Line","(1998)","170 min","Drama, History, War","7.6","189,002","$36.40M"
"281.","Rio Bravo","(1959)","141 min","Western","8","63,364","$12.54M"
"282.","Harvey","(1950)","104 min","Comedy, Drama, Fantasy","7.9","56,021",""
"283.","Planet of the Apes","(1968)","112 min","Adventure, Sci-Fi","8","181,315","$33.40M"
"284.","Grave of the Fireflies","(1988)","89 min","Animation, Drama, War","8.5","277,636",""
"285.","La haine","(1995)","98 min","Crime, Drama","8.1","174,830","$0.31M"
"286.","Three Colors: Blue","(1993)","94 min","Drama, Music, Mystery","7.9","103,058","$1.32M"
"287.","Star Trek II: The Wrath of Khan","(1982)","113 min","Action, Adventure, Sci-Fi","7.7","122,694","$78.91M"
"288.","The Man Who Would Be King","(1975)","129 min","Adventure, War","7.8","49,518",""
"289.","The Red Shoes","(1948)","135 min","Drama, Music, Romance","8.1","35,592","$10.90M"
"290.","Gladiator","(2000)","155 min","Action, Adventure, Drama","8.5","1,495,870","$187.71M"
"291.","Boogie Nights","(1997)","155 min","Drama","7.9","267,181","$26.40M"
"292.","La Belle et la Bête","(1946)","96 min","Drama, Fantasy, Romance","7.9","26,771","$0.30M"
"293.","Badlands","(1973)","94 min","Action, Crime, Drama","7.7","73,759",""
"294.","My Father and My Son","(2005)","112 min","Drama, Family","8.2","87,216",""
"295.","Miracle on 34th Street","(1947)","96 min","Comedy, Drama, Family","7.9","48,634","$2.65M"
"296.","For a Few Dollars More","(1965)","132 min","Western","8.2","257,636","$15.00M"
"297.","Superman","(1978)","143 min","Action, Adventure, Sci-Fi","7.4","176,286","$134.22M"
"298.","Children of Heaven","(1997)","89 min","Drama, Family, Sport","8.2","75,374","$0.93M"
